Text,Label
The economy is booming under the new policy reforms.,Real
Scientists have found a cure for aging.,Fake
The president announced new tax reforms today.,Real
Aliens have been spotted in Los Angeles!,Fake
Stock markets hit an all-time high.,Real
"Vaccine causes people to become magnetic, says conspiracy theorist.",Fake
NASA confirms water on the moon.,Real
Government secretly replaces all birds with drones.,Fake
New education reforms will help rural schools.,Real
Celebrity claims time travel is possible with crystals.,Fake
